Name,Review,UpVotes,Rating,Date
,,,,
Shelley Yates,"T&Cs, Privacy Policy & FAQ pages don't open. What sort of company is afraid to provide info before someone signs up? Ola, your app won't let me in unless I enable Location. I deliberately keep this off because it doesn't detect my address correctly & invariably directs rideshares to one of my neighb...
Full Review",83,Rated 1 stars out of five stars,01-Mar-20
,,,,
Anup Srinivas,"The app doesn't update with the list of cabs. After you close and reopen the app it doesn't load. Now today all of a sudden the app say my account is blocked. I have written to the email ID that I was available on Google. But in an emergency whom do we call or do we wait for 24 hours. Horrible custo...
Full Review",171,Rated 1 stars out of five stars,19-Feb-20
,,,,
Ben Graham,"I signed up expecting a 30% discount on my trip (new member), only to get the email half way through the trip saying there's a process to apply it (I thought it was the code I got texted). So no discount was applied. I don't use ride shares often so the discount will expire before I use one again. T...
Full Review",42,Rated 1 stars out of five stars,19-Feb-20
,,,,
Roshan Kumar,"This app Is stupid to it's very core has so many bugs in it that it's just impossible to use it takes an eternity to find the cab and keeps looking for the cab and confirms the booking even after you've closed the app, the whole reason of closing an App is that I no longer require the cab and I have...
Full Review",37,Rated 2 stars out of five stars,20-Feb-20
,,,,
Paritosh Gupta,"There's a big bug in the app! It always crashes and then tells me to sign in again. The sign in always fails. Then I have to clear all app data then sign in again, after which it works. This happens constantly. It's happened about 8 times in the past 3 days! Please fix it!",74,Rated 1 stars out of five stars,10-Mar-20
,,,,
Rhonda-Lee Butler,"Was quite efficient and prompt no hassles friendly staff member ride successfully booked for return to home, and above all fast friendly quick and reliable",,Rated 1 stars out of five stars,"April 21, 2020"
,,,,
Suraj R Nair,"Very bad experience with the app and the customer service. Was not able to use the app recently due to their internal issue or glitch. When communicated, they restored it and surprisingly, I was shown a ride of 2 weeks before which I had not taken and was charged for it. I communicated the same to t...
Full Review",289,Rated 5 stars out of five stars,11-Mar-20
,,,,
Sounak De,"Worst ride booking app I have come across. I would have given this app rating in the negative if it was possible but unfortunately the lowest I can give is 1. The route it showed on the map was far longer and time taking than the one I generally took to go to the same location and when I reached my ...
Full Review",185,Rated 1 stars out of five stars,05-Feb-20
,,,,
Shagufta Ali,"I was charged wrong cancellation fees and there is no option to report it. Everytime i m trying to go to support- it says ""something went wrong"". Tried to use call us feature from other options, the number is incorrect. Very frustrating!! The inappropriate cancellation fees is forcefully added to my...
Full Review",60,Rated 1 stars out of five stars,10-Feb-20
,,,,
Sridhar Rao,"I have set up the app to pay by credit card so that it gets billed to the right account. As per Ola's policy, payment is to be made before concluding the trip. However, quite frequently, even at commencement of trip, the app says trip is nearly concluding and does not allow the payment to be made. E...
Full Review",97,Rated 1 stars out of five stars,14-Feb-20
,,,,
Vijaya Lakshmi,"Many times input my phone number in login page but didn't get this app again again asking phone number and mail ID, One more time I uninstalled the app and than installed the app after the service is working so I am angry this app using times. Old version is good but New version very worsted. Please...
Full Review",135,Rated 1 stars out of five stars,11-Mar-20
,,,,
Avijit Chatterjee,"Since last few days, at one chance I havent been able to book cab. That's very strange. It's been loading all the time. The best experience I have, is from Bangalore Airport. Apart from that, it is not good at all. Guys, please fix this problem. I am sure it's a known issue for developers. Why dont ...
Full Review",12,Rated 1 stars out of five stars,07-Mar-20
,,,,
Inayathulla Khan,"It is good service, but I have been getting unnecessary reminders, even after clearing all dues with Rs.100/- extra. Your customer service is pathetic - there is no way to reach out to you guys through your app nor you have disclosed any customer care number anywhere. All efforts have been put in to...
Full Review",30,Rated 1 stars out of five stars,"April 15, 2020"
,,,,
Ritu Chaubey,"I used many apps but I got the worst experience from this app. First of all they don't have any customer care number, secondly they don't even reply through email also. I was facing a payment related issue, and there was no body to help me out. They don't forget to add late payment charges but they ...
Full Review",239,Rated 5 stars out of five stars,21-Mar-20
,,,,
Ajay Daga,"After factory reset, I cant sign in the app, erroring as ""too many accounts from this device"". Its a bug, as its the same account. I wrote an email to support, but no response. No points for guessing who has pathetic service - Ola or its competitor.",10,Rated 1 stars out of five stars,04-Mar-20
,,,,
Tabish Shaikh,"Since update every time I open the app it asks me to login and it says ""Failure, Something went wrong please try again"" and it is same after trying several times and always I have to reinstall the app again to get myself logged in and as soon as I switch app bang it gives me the same error and then ...
Full Review",174,Rated 1 stars out of five stars,15-Mar-20
,,,,
shah nawaz,"Totally worst, I have booked a ride and selected the right location, but where my app shows me the location I selected and the driver got another location, I complained to the customer service, they don't provide any solution and moreover have to pay extra charge for parking where micro rides bill i...
Full Review",6,Rated 1 stars out of five stars,17-Mar-20
,,,,
Fozia Butt,"Disgusting software! Everytime I click the cancel ride button, there is no response and only minutes later of repeatedly clicking the button or waiting, a box comes up with a box saying my cancellation was too late and I have to be charged! There is nothing wrong with my phone but the app itself is ...
Full Review",218,Rated 1 stars out of five stars,24-Feb-20
,,,,
Emily Komiyama,"Very laggy. Doesn't work alot of the time. And more annoyingly, the app doesn't tell you if your driver has to drop someone else off first. So you're watching them drive further and further away and don't know why. Don't use if you need to get to work :/",17,Rated 1 stars out of five stars,01-Mar-20
,,,,
Amitesh Kumar,"App has two issue. 1. Even to Clear the due you have to turn on GPS. This is stupid. GPS popup should not be blocking UI and should be mandatory only while booking rides. 2. Clear Due option is difficult to find. Side menu Payments and Ola Money is quite similar and hence confusing. May be Payment c...
Full Review",102,Rated 2 stars out of five stars,29-Mar-20
,,,,
Kai S.,"App didn't open yesterday, just showed white screen. Cannot access account info to setup when not in an ola supported city making signing up and checking account info difficult. Support for riders very lacking, just check out their FAQ as compared to Uber. Search locations difficult as Auto search s...
Full Review",31,Rated 2 stars out of five stars,12-Feb-20
,,,,
Pooja Nerlekar,"The worst app I have ever used for booking cab. I will never recommend anybody to install and use this app. I had doctos appointment and I was booking ola 4 times it got cancelled. I have faced issues with drivers everytime. Worst app.. don't even install in your mobile. It is just a waste of space....
Full Review",74,Rated 2 stars out of five stars,04-Mar-20
,,,,
Abhishek,"Very useful, definitely. But I think you need to follow up on a few better quality cars at an extra rate as well. Ola executive never seems to be available in my city and sometimes, like yesterday, I got a real junk vehicle. It was maintained terribly, it felt like I was in a share auto",61,Rated 1 stars out of five stars,17-Mar-20
,,,,
Ronak Kabra,"I made the payment through Googlepay but on the driver's screen it displayed to pay in cash. On calling upon the customer support person, he said that you need to pay in cash and your payment on googlepay will be reverted back in 1 week. It's been one and a half month now! I didn't receive my money ...
Full Review",294,Rated 3 stars out of five stars,22-Feb-20
,,,,
Jyoti B,"Ola designer are totally careless on user's account. I deleted my payment options of a particular credit card. I could see the same appearing on the repeat recent transactions. I called Ola customer care and guess what resolution i got : "" un install the app and reinstall it might be an application ...
Full Review",24,Rated 1 stars out of five stars,10-Feb-20
,,,,
Pierre Kirkpatrick,"Started with a ridiculous amount of Ads everywhere, stupidly calling out other cab companies before they even launched. But can barely do the basics themselves. A lot of useful features that are getting over marketed. What was wrong with checking a number plate before going into a car .. anyway plea...
Full Review",27,Rated 1 stars out of five stars,11-Feb-20
,,,,
Malcolm Lowrey,"The app worked fine for getting a ride while travelling out of town but back in my home town Ola isn't available. This means that when I open the app at home to check my ride history and complete end of month expense claims the app blocks me with a message telling me ""Ola not available in your locat...
Full Review",65,Rated 1 stars out of five stars,28-Feb-20
,,,,
Matthew Hicks,"Got out of a ride after a few minutes (less than a fifth of the total journey) due to lengthy diversion in London but was still charged the full amount for an 8 mile ride!!! No in app remediation and terribly slow phone support. I would advice avoiding this app until they sort out their technology a...
Full Review",131,Rated 2 stars out of five stars,28-Feb-20
,,,,
Ajay Kharade,"There is smart manipulation in recent app, it recommends you to take prime play rodes... When you want to change the payment method no matter what you choose micro, mini, it again goes back to prime play. Smart way of fooling customers. Double check thet prime play is not selected before ride start,...
Full Review",11,Rated 1 stars out of five stars,06-Mar-20
,,,,
Jason Fonseca,"Two bugs 1. After ride has been ordered, contact, cancel ride, support etc buttons on home screen do nothing. Can't tap them 2. Order a ride to the airport, apply the coupon, change the destination to a different terminal, and try reapply the coupon. Doesn't work. You can't get it to work either, co...
Full Review",45,Rated 1 stars out of five stars,09-Mar-20
,,,,
Sushma Shanubhog,"I reinstalled this app after mobile service. I forgot my password for ola account so cant able to login. I checked with support if you coonected with your mail you ll get link below and you can change the password. I likned mail. While i was using this. But now its not showing any link to change ola...
Full Review",79,Rated 1 stars out of five stars,16-Mar-20
,,,,
Sampreet Lahiri,Ola app is continuously shutting down after just opening it since 3-4 days. Kindly check it.,,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Hope Of New LIFE,Worst app. Unnecessary getting reminders instead of cleared all dues. Also charging extra money for it.,,Rated 4 stars out of five stars,"April 19, 2020"
,,,,
Kaushal Bhavsar,"What a weird app. You need otp and password both for login and the ivf call doesn't work at all. If I entered the OTP correctly what different does a call make. I have confirmed the number is with me. Get your heads right. For the millionth time, I am again using uber because I cannot even login to ...
Full Review",45,Rated 1 stars out of five stars,17-Feb-20
,,,,
Tawqeer Miakheel,"The £10 voucher for inviting friends is misleading. £5 for signing up £5 for adding bank details and £5 for first ride is only £5 off, it does not add up and £10 invitation voucher is not an option. Could have taken the bus for £1.50 and would have gotten me home sooner than Ola, whilst paying £17 m...
Full Review",83,Rated 1 stars out of five stars,24-Feb-20
,,,,
Jasleen Kaur,"The ola cabs is worst app . I had been using it for months now and in beginning it was fine but after some months it started problems. yesterday after struggling for almost 2 hours for getting a cab i got the cab but the cab driver had taken extra money and when i go to support section it shows not ...
Full Review",153,Rated 1 stars out of five stars,05-Feb-20
,,,,
Hassan Hamdan,"It wont let me even access the app properly need to fix issue when im pucking my current location it keeps saying drivers will be available there soon to order a cab and keeps popping up change location and its bs my brother has the app works totally fine and same location as me i have no idea why i...
Full Review",25,Rated 1 stars out of five stars,08-Feb-20
,,,,
Erika Plays,"How can you even try it? I just download it and is useless, I can't do nothing because is shpwing again and again to change location even if do not need. How can you ask for a cab if the featurea afe not working due to this notification that is continuously? And you have milions of commercials daily...
Full Review",11,Rated 1 stars out of five stars,09-Feb-20
,,,,
karishma chadha,"I have a subscription for ola rides. It says rides would cost flat fare of 139 for micro and mini rides within 15kms, the distance I travel is less than 15kms, yet the prices go beyond 200rs each time. This is horrible. I took the subscription bcz I need to travel daily to the location. Even if the ...
Full Review",49,Rated 1 stars out of five stars,03-Mar-20
,,,,
Akshay Tandulje,"Charges way more now a days. For ex. Ola autos charge much more(~ 95₹), when the usual autorikshaws outside bus/railway stations charge around ₹70. Also, no offers available. I recommend using it only in emergency.(The numbers are experience from today itself). Also, the prices shown in Google maps ...
Full Review",7,Rated 1 stars out of five stars,10-Feb-20
,,,,
Kadambari waikar,"My account is hacked and being used right now. I am in Nashik and it's being used in Mumbai. I tried to call on the emergency number which is not answering. I am not receiving any email as it shows email not verified. But I uninstalled the app and tried to register it woth another number through sam...
Full Review",23,Rated 1 stars out of five stars,15-Feb-20
,,,,
Richard March,"You need to fix the issue where you order the ride the app constantly lags which results in losing track of the car, compared to the Uber app never lags. The app needs an update so it is accurate letting customers know that the car has arrived. Numerous times app says car has arrived and arrives fiv...
Full Review",34,Rated 1 stars out of five stars,03-Feb-20
,,,,
Abhishek Kumar,"Very poor app and support. If you try to connect with the support every time error will come. but while charging a customer error will never occurs i.e they will increase the cost only. I started using ola from last 2 days again after my bad experience few months back. Even enrolled for ola pass tod...
Full Review",41,Rated 4 stars out of five stars,09-Feb-20
,,,,
A A Aga,"Drivers don't follow what is expected when a Prime Play Sedan is booked. If one books Prime Play Sedan, expected is that an AC Cab is coming for you but what you get is regular sedan where driver keeps all windows open to save fuel and won't close them and turn on AC till passenger tell him/her. Wor...
Full Review",13,Rated 1 stars out of five stars,09-Feb-20
,,,,
Kajal Vats,"Sometimes it is very helpful but for last 3-4 times i have had a very pathetic experience as the drivers are very rude and deny to go for the ride, for which i have to cancel the ride as they don't cancel it for penalty. And I get late because of waiting so i have to cancel that ride for which I've ...
Full Review",13,Rated 3 stars out of five stars,11-Feb-20
,,,,
Raaj Tilak Sarma,"This is a very strange issue i am facing with ola recently. All my rides are paid for and completed. But when i am about to book a ride it says there is already a ride scheduled with my card and hence i am not able to book a ride. I cannot even remove the upi ids. Contacted support over phone. Told ...
Full Review",55,Rated 1 stars out of five stars,14-Feb-20
,,,,
Ganesh tripathi,"There is something terribly wrong with this app now days. It is asking for mobile no. verification Everytime I open it, even after verifying no. it says try again later. I have been using ola for at least 5 years now, never had this bad experience ever. Worst service.",55,Rated 1 stars out of five stars,10-Mar-20
,,,,
Prasanna Kumar,One of the worst app. Always has a glitch when we select as card payment and the team insist us to pay cash. You always need to uninstall the app and install back as per the customer service. Also the app has provides problem in multitasking. The phone hangs for close to 10 seconds.,8,Rated 1 stars out of five stars,22-Feb-20
,,,,
TOP TRENDING,"(Honest review)This app looks simple ,easy and fast but the rules is, when the driver cancels the ride the fine money is for us,when the driver come late and took a different road or pick up location it automatically increase the fair cost without giving a message. .yeah its not the drivers fault it...
Full Review",12,Rated 1 stars out of five stars,29-Feb-20
,,,,
Akhil M,"The update is awful. There is no option to book a ride for someone else. Also, the app layout keeps alternating between the older version and current version, when the app is closed and then opened the next time.",3,Rated 2 stars out of five stars,08-Mar-20
,,,,
A Google user,"Great app. Recommendations are good.But a few suggestions: the lyrics poster is good but pls also bring a feature to download the full song lyrics and info.I tried but found no lyrics downloading option. The new video feature is good � . The 'identity the song' feature is very bad...After a recent ...
Full Review",273,Rated 4.6 stars out of five stars,"April 28, 2020"
,,,,
Shakti Prasad Senapati,"Very nice collections, but need some improvements like simple looks, more accurately searching songs, good and simple commands for operations. Mostly I want you to make the app very very user friendly so that it will not take time to understand how to operate the app. I feel ur app a little complex ...
Full Review",559,Rated 3 stars out of five stars,"April 23, 2020"
,,,,
Nitin singh,"Very bad application, I subscribed also for 1 year , and I downloaded my fav songs ,, but I am not able to listen them offline,, they said that you are not connected, and when I tried okay them after my data turned on , they starts sucking data for playing downloaded songs , it doesn't deserve 1 sta...
Full Review",1,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
Neeraj Attri,"It's a nice app. But sometyms it doesn't show lyrics. A collection of old and new songs is available in this app. I am using resso music apps too, they allow the user to select and make a list of their chosen fav. Songs and to cre8 playlists without any Facebook or Google account info 's . Ganna did...
Full Review",14,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Gamma Gaana Ltd,"I would like to give more rating to this app. But recently this app acts really wired in my android phone. When I start playing songs it automatically turns off the songs. After new update also I am facing this problem. Moreover I have subscribed to this app for whole year and I am not able to liste...
Full Review",185,Rated 4 stars out of five stars,31-Mar-20
,,,,
Avinash N,"till this update there hadn't been remarkable bugs. But after this update serious bugs r seen. Like the music is stopped playing on its own. Restarting won't make a difference. Can't just listen any song relaxing. . U've have to skip the part where the song is stopped. This is major and disgusting b...
Full Review",250,Rated 1 stars out of five stars,"April 22, 2020"
,,,,
Gamma Gaana Ltd,"Gaana alarm is not working properly. My phone switches off automatically at the night and after turning it on even way before alarm time the alarm doesn't ring. If i open the app after switching it on, it rings properly. Even if the app is not there in the background after once opening it, alarm wor...
Full Review",46,Rated 1 stars out of five stars,"April 23, 2020"
,,,,
Adrika Biswas explorer,"recent version of gaana is worst than ever. Sound quality is poor, and preset volume is too less. When I am offline, I cannot see any song from my albums. I am a paid subscriber but it is a worst app.. Dont buy the app by single rupee payment. Problem of offline playing persists. Equalizer is great....
Full Review",272,Rated 2 stars out of five stars,"April 27, 2020"
,,,,
Gamma Gaana Ltd,"I used to be able to play all kinds of songs like English, Spanish but suddenly , those songs got listed out of my playlist and whenever I tapped on the song...It said ""Content not available"". This kind of change without any notice is really frustrating. I hope ..I can enjoy ganna as much as I used ...
Full Review",153,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Vishnu Teja Ch,"As being a app analyser I found that gaana app is one of the best online music app it has almost every songs. as India is vast country with many languages and still has every language regarded songs. The user interface is very clean and very easy to use but still it has ad playing we can subscribe t...
Full Review",36,Rated 3 stars out of five stars,"April 23, 2020"
,,,,
Gamma Gaana Ltd,"It's a very admirable and splendid app, whatever song I search for is available on this magnificent app, unlike some other apps of this category. Only improvement needed in it is to bring an option of removing a particular song from a playlist which could axe down the need to delete the whole playli...
Full Review",198,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
KRISHNA ROY,"Major feature missing ....when we download songs and add it into playlist then we are unable to arrange the songs by name, By time or by any means in playlist ...it create a chaos and user unable to find songs easily in download list we need to look each song with much effort to find the song...If t...
Full Review",193,Rated 5 stars out of five stars,"April 22, 2020"
,,,,
Gamma Gaana Ltd,"Your android app is good, but windows app is worst as it always says content not available whenever I click on a song to play it (unable to play a single song in 3days on laptop through app), though the same song gets played on android device and on website on laptop. What is then benefit of getting...
Full Review",116,Rated 3 stars out of five stars,"April 26, 2019"
,,,,
Nargis Islam,"I don't know if it's only my problem or what.. The songs are playing perfectly in WiFi but the moment I switch it to the mobile network it goes enermously slow.... Where all the apps like amazon prime, YouTube etc. Are working absolutely fine in the mobile network but only this app has some issues.....
Full Review",30,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Gamma Gaana Ltd,Never stop the songs in between even if the network connection is slow. Don't start the song if network is slow until you are able to play the whole song. It become veryyyyyyyy irritating when the song stops in between. It's a advice,2,Rated 3 stars out of five stars,"April 29, 2020"
,,,,
Maddy BABO,"Honestly, I love the app. Everything seems good. Though the music player can get a complete overhaul. Blown out album art, more control over lyrics, better song title visibility, bigger and intuitive controls for instance...",2,Rated 1 stars out of five stars,"April 23, 2020"
,,,,
Shailja Singh,With every new update the app is getting worst and worst. First it never plays when I'm connected to wifi. GAANA said to contact them and for fixing the problem. Still not working and now. Thr songs stop playing mid way and keep skipping the whole play list without playing any of the songs.,5,Rated 4 stars out of five stars,"April 22, 2020"
,,,,
Yogesh Gangwar,"Good app but some problem which developers shoud take a look at- 1. I use it with Google home mini, so searching is very tough, for eg i want to hear a song, Google recognizes my voice and lyrics correctly but when it gives to ganna to play it plays some other song. 2. Can't play playlist created in...
Full Review",543,Rated 1 stars out of five stars,"April 22, 2020"
,,,,
Rishikesh singh,"Hi. Aim using gana for almost 7 months it's working good. I have some suggestions on theme. The theme which you have provided is not bad actually i like the Rock theme init.. After applying theme it's only visible in settings option. In other places it is displaying properly, If we choose downloads ...
Full Review",22,Rated 4 stars out of five stars,"April 24, 2020"
,,,,
Gamma Gaana Ltd,"Millions of bugs at every step... if we stop smart downloading it next time it starts automatically.. Playlist error .. setting automatically reset by itself.. Downloaded song in hd quality shows in low quality... Stops playing video option it show then after itself.. Just work on your app .. i am u...
Full Review",118,Rated 3 stars out of five stars,"April 25, 2020"
,,,,
Manas Behera,When I downloaded this app the downloads of the music were free but now for downloads we have to pay money WHY? Because of this we can't listen music offline can't you fix this and make it free. I would give more stars but because of this problem I won't .,,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Gamma Gaana Ltd,Love it more than any thing. But I think it would be nice if GAANA can include a voice search that can track any song which plays in the background so that we can search the song easily even if we don't know the exact song lyrics or whatever!!,18,Rated 3 stars out of five stars,"April 29, 2020"
,,,,
Rajbir Singh,"I am giving 3 stars because I'm impressed by your response for my last complaint which has been fixed ,but now I do have another , I can't find some of the famous songs like Be free - vidya vox and many more too This app being so famous all over the country and you guys don't even care about fixing ...
Full Review",176,Rated 5 stars out of five stars,"April 26, 2020"
,,,,
Gamma Gaana Ltd,"Hello developers ! There is some kind of glitch in this app , everytime I play a song in repeat mode it stops after 3rd cycle and sometimes it stops at the last second and didn't start the next track . Hope you will look forward to solve this issue.",3,Rated 3 stars out of five stars,"April 27, 2020"
,,,,
Rahul Ravindranathan,"these 3stars are for some glitches and for some good developers.. should i do it regular,that i have to press the play button to listen song,when it is automatically pauses itself after 3-4 music song.. is it testing that ,"" is there anyone who is listening? "".. very annoying,please fix it soon..",4,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Atif Javaid,Loved the app initially BUT recently I'm seeing lots of tiktok style videos playing while listening the songs (although i haven't played the video). Probably this videos run in the background also as this consumes my data faster than what it use to consume earlier which is pretty annoying.,3,Rated 3 stars out of five stars,"April 25, 2020"
,,,,
Gamma Gaana Ltd,"I have Gaana plus, updated the app from play store and the app is not working properly. Songs are not getting played and the play control is traversed through song playlist without playing any song.",,Rated 2 stars out of five stars,07-Mar-20
,,,,
Rahul Gupta,"It is a nice app Iam using it for almost 6 months ....moreover the positives are it has a wide collection for artists individually like Justin Bieber ... especially BTS...I love to hear their songs and it updates instantly their new albums...but the shortcomings for me is not about ads..but the app ...
Full Review",900,Rated 3 stars out of five stars,"April 17, 2020"
,,,,
j vijaykumar,The app gets stoped after 3 to 4 songs even if we save a playlist or que... What is the problem is it.. ? I need to stop the vehicle and restart the app to continue the playlist... Please fix this issue... Waiting for your action and reply,,Rated 4 stars out of five stars,"April 23, 2020"
,,,,
Gamma Gaana Ltd,"Good to bad to worse... Streaming quality has gone so bad that songs don't get played properly even when internet speed is 1Mbps. Just downloaded Spotify, it is as smooth as one get. Gaana sucks as of now. Content is good but need to buckle up guys.",,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
Nitin Kr,It's an amazing app. Some of the features I liked most when compared to Spotify were:- (a) Night mode theme (It looks awesome) (b) It also shows lyrics of the song. (c) Very less subscription fees for students (I got for just rupees 150),5,Rated 2 stars out of five stars,"April 26, 2020"
,,,,
Gamma Gaana Ltd,"Bogus app. Do not waste your 99 rupees behind this garbage because you will not be able to find .mp3 format in your storage and if you want to convert the .e file to .mp3 then the music bitrate will get reduce and if you want to rename the .e file then the music file will become unusable!! I wasted ...
Full Review",212,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
Anita Thakur,"Though the app was always buggy and used to crash once after every 15th(approx) song. But this recent update is crashing the app after 1 minute marker of 3 rd song, every frikken time!",,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Vidhya Jithesh,"Im a gaana plus user and i kind of regret it. You don't even have a proper collection of ""bollywood"" that too new movies not like 60s or 70s..... regional and English is way out of the box Also No regional song's collection if u search for your song you will get regret written on screen in bold If i...
Full Review",1,Rated 2 stars out of five stars,"April 24, 2020"
,,,,
Varshith Sai,"Utterly Slow and Sluggish � A lot of bug in the mobile app and user experience can be improved, syncing between devices is terrible as the desktop app is mediocre & full of bugs.... Not a smooth user experience JioSaavn is a lot better... Period I am stuck with Gaana+",,Rated 2 stars out of five stars,"April 26, 2020"
,,,,
Gamma Gaana Ltd,I can't listen English or other songs it just say this song is not available in your region..but my other friends can get access to those songs easily..it is second time..you once fixed it but 1 month later it has started again.. I am pissed off this problem..i want to get rid of this,25,Rated 1 stars out of five stars,"April 6, 2020"
,,,,
Sandeep Singh Deopa,"Im Gaana plus user, I have downloaded few of mah fav songs, but as im playin them offline their is disturbance in the song which is not their while using the app online, n the disturbance is that suddenly song is been played at low quality though I hav downloaded them at hd quality, hope you have un...
Full Review",1,Rated 1 stars out of five stars,"April 22, 2020"
,,,,
priyam raj,Undoubtedly one of the Coolest Song Jukebox. They do not jeopardize your collection when your subscription is over and preserve it. Plus the subscription is available from many stores as bonus too. Definitely keep this App to maintain my song collection! Thank you,3,Rated 2 stars out of five stars,"April 25, 2020"
,,,,
Suman Das,After playing some songs the player automatically stucks at a song just a second before its end. The play/pause button still showing pause sign and then I have to manually press the next button to continue to the next song in playlist.,14,Rated 5 stars out of five stars,"April 25, 2020"
,,,,
Ganesh Kolase,"One of best music streaming app, lots of music content available but the problem is very messy UI and album art is not showing most of the time on lockscreen. I'm a Gaana plus user and next time I'm not going to renew it because I already switched to Spotify and Uninstalled Gaana.",8,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
poo sekar,"Gaana is one of the best musical app I ever come across. I found not only best collection of songs but also good collection of Sanskrit stotra... My doughter enjoy listening stories and poems on this app..it help her to improve her listening skills. It has a good collection of regional language. Tha...
Full Review",57,Rated 4 stars out of five stars,"April 15, 2020"
,,,,
srikanth sapalya,I love this app. It has large collection of songs of different artists and also under different genres. I have paid for gaana plus subscription too but unable to play on my samsung smart tv 65 Everytime i get a message that your password is incorrect. Any solution?,2,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
Cartoon Gamer,"Stupid app. I am unsubscribing and deleting it from all my phones. The advertisements are so aggressive that i pauses the playlist forever, i.e. until you unlock the screen and uncheck the ad it wont move ahead. If you are on a tread mill it is such a risk. Anyways dumping this app.",,Rated 4 stars out of five stars,"April 26, 2020"
,,,,
Gamma Gaana Ltd,"Nowadays, I am getting a problem with this. While listening to music, mobile gets locked (due to autolock feature). Problem occurs, When I unlock the mobile it shows home screen instead of gaana app. I hope you will respond to it.",12,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Aditya Kedawat,This new version of gaana is amazing...it has many new features....I just loved it and I'm enjoying to spend time on gaana...I don't feel like to switch to any other music app.,2,Rated 2 stars out of five stars,"April 26, 2020"
,,,,
MKS,"Really Nice app. I am ganna plus user from past two years... The app is worth downloading... There are some minor bugs. Like sometimes you will face peoblem while downloading the music, but after restarting the device, issue can be resolved.",10,Rated 5 stars out of five stars,"April 25, 2020"
,,,,
Gamma Gaana Ltd,"I have using it for quite long time. Great app. One suggestion, kindly put a shortcut of 'Add to playlist' just next to the song. It takes time to go to option button and then select. Thank you.",2,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
Abhinav Kulshrestha,"Dear Gaana, I'm using your Gaana App since 4 years But now I'm done with this Here I'm mentioning My problems 1.player pauses after every 2 song so i have to go back and Play the song again(i hate doing this while sleeping) Regarding to this I've mailed you many complaints but you never replied 2.yo...
Full Review",12,Rated 4 stars out of five stars,"April 28, 2020"
,,,,
sanjay sonwalkar,"My Gaana+ account was auto renewed even before the validity due date. Also, I had never chosen the option to auto-renew. Now, I'm unable to uncheck this option even before my validity due date, indirectly forcing me to pay from my account. It's unethical and illegal. Done with this app.",6,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Gamma Gaana Ltd,Having problem in streaming and downloading music after the new update. But my network is fine. Loading music takes too much time. And stops a lot of time when streaming.,1,Rated 3 stars out of five stars,"April 29, 2020"
,,,,
Sankalp Singh,"Gaana has good collections and sound quality is also fine. However, the biggest quirk is smooth UI experience. This app doesn't have smooth transitions. It hangs little bit.",4,Rated 2 stars out of five stars,"April 29, 2020"
,,,,
it's banner,"Good collection. Search as per language is confusing for me atleast, even after selecting language from setting songs of other languages are shown. Few songs are not found of original track.",2,Rated 2 stars out of five stars,"April 17, 2020"
,,,,
Gamma Gaana Ltd,Please make it easier to reach IDENTIFY MUSIC tab . There is too much scroll down to reach finally. And please add the artist VIDYA VOX . Overall app is great .,1,Rated 3 stars out of five stars,"April 20, 2020"
,,,,
Bobbala Sanjeev Reddy,There must be an option of "shuffle play" in playlist songs too. Please make it possible as soon as possible.�,,Rated 4 stars out of five stars,"April 26, 2020"
,,,,
Gamma Gaana Ltd,"I don't why it always crashes. Really frustrated. I have downloaded podcast to listen. Seriously I dont know what to do. I tried reboot my phone, didn't work.",1,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
Dino Raj,Great app but please work on song recommendations. The app keeps repeating the same songs again and again and I have to constantly hit the skip button. Please improve AI for better song exploration and recommendation.,6,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Abhinav Aggarwal,"I'm a plus user & I have some feelings related ro the design of the interface of the app. It is very complex, there are so much categories, so much stuff just scattered around. Please look into this.",,Rated 4 stars out of five stars,"April 17, 2020"
,,,,
Mamud Hossain,"I used gaana app paid version last 6 months, but i dissapoint to use this apps. I complained for gaana apps equilizer was not working when skip next songs. After that company gives 4 updates but issue was not resolve. i m using Vivo V15 handset.",3,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Anushka Rawas,"Best among the music apps in India. Improvements needed: 1. Collection is limited, especially older songs, non filmy songs and albums. 2. Searching is a pain, difficult to find a song even if it has the song already.",14,Rated 1 stars out of five stars,"April 15, 2020"
,,,,
