,Review,UpVotes,Rating,Label,Length,Positive,Negative,Present,Past,Future,b,f,r,u
931,downloaded download error loaded uninstall,1.0,1.0,b,72,1,-2,0.0,1.0,0.0,1,0,0,0
933,app shutting wont,0.0,1.0,b,64,1,-1,1.0,0.0,0.0,1,0,0,0
935,worked good yeats download error work eeek,1.0,1.0,b,81,3,-2,0.6666666666666666,0.3333333333333333,0.0,1,0,0,0
937,bad download error time,0.0,1.0,b,47,1,-2,0.5,0.0,0.5,1,0,0,0
939,app working showing download error,0.0,2.0,b,51,1,-2,1.0,0.0,0.0,1,0,0,0
941,download error zodiac sign unusable redmi note,0.0,1.0,b,62,1,-2,1.0,0.0,0.0,1,0,0,0
943,latley hasnt working give star like detail message,0.0,3.0,b,104,3,-1,0.5,0.0,0.5,1,0,0,0
945,work error,0.0,1.0,b,51,1,-2,0.0,0.0,0.0,1,0,0,0
947,latest upgrade broke app please fix,1.0,1.0,b,50,3,-3,0.0,0.5,0.5,1,0,0,0
949,great error app wont open,8.0,1.0,b,52,3,-2,1.0,0.0,0.0,1,0,0,0
951,doesnt want work wouldnt internet kick app,0.0,1.0,b,80,1,-2,0.5,0.0,0.5,1,0,0,0
953,star app doesnt give zodiac sign daily horoscope,0.0,2.0,f,108,1,-1,0.6666666666666666,0.0,0.3333333333333333,0,1,0,0
955,accurate talented constructed,0.0,5.0,u,43,3,-1,0.0,1.0,0.0,0,0,0,1
957,app recommend add yearly reading,19.0,5.0,u,76,1,-1,1.0,0.0,0.0,0,0,0,1
959,hasnt worked couple week bad like long time,0.0,3.0,r,68,2,-2,0.0,1.0,0.0,0,0,1,0
961,absolutely love app found lot useful pin house pool deck found great recipe delicious made time didnt live hype love new recipe dont taste good great app,10.0,5.0,u,289,4,-1,0.25,0.5,0.25,0,0,0,1
963,love fingertip great idea creative mind appperfect understand reason advertisement difficult always navigate recipe continually pop recipe bit,68.0,5.0,u,290,3,-2,0.75,0.0,0.25,0,0,0,1
965,visit browserbetter install best browser app block ad privacy fast started pinterest save pin liked timber frame home great show architect pin help visualize want board,144.0,5.0,r,290,3,-2,0.5,0.3333333333333333,0.16666666666666666,0,0,1,0
967,pin kind generous time guiding slowly product helping educated opportunity presenting idea tool implement fit dont table commonpl,2.0,5.0,u,292,3,-1,0.8,0.2,0.0,0,0,0,1
969,love app addictive always interesting available im day diy project cooking hack fantastic art nerdy post favorite book show endlessly entertaining inspiring brightens,3.0,5.0,u,294,3,-3,0.75,0.0,0.25,0,0,0,1
971,latest update app degraded quality greatly shrinking image fit inside tiny blockframes good design whatsoever element reverted previous form shrinking fit frame text block rating return star,7.0,2.0,u,297,3,-3,0.6666666666666666,0.3333333333333333,0.0,0,0,0,1
973,find literally app constantly absolutely love exploring new recipe diy project hobby exploring thing thought thousand thousand thing,37.0,5.0,u,289,4,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,1
975,enjoy frustrating doesnt want swipe time give star didnt give picrures language accidentally click language amazing,3.0,3.0,f,262,4,-3,0.6666666666666666,0.0,0.3333333333333333,0,1,0,0
977,pathetic slower load update app second irritated update available google play store pinterest suddenly start behaving strangely like freezing updating random photo saving pin grou,79.0,1.0,f,290,2,-3,1.0,0.0,0.0,0,1,0,0
979,good ap hard navigate reverse click photo want hack couple screen find photo liked difficult original webpage photo ap kind trap youre,2.0,4.0,f,290,3,-2,0.75,0.125,0.125,0,1,0,0
981,started pinterest save pin liked timber frame home great show architect pin help visualize want board building house love board set section feature ti,373.0,5.0,u,296,3,-1,0.6666666666666666,0.2222222222222222,0.1111111111111111,0,0,0,1
983,visit browserbetter install best browser app block ad privacy fast love pinterest app update kind weird scroll video play audio ge,411.0,3.0,r,288,3,-2,0.6666666666666666,0.0,0.3333333333333333,0,0,1,0
985,pin accurate interest app lagging view board previous search refreshing refreshing wrong pin sometimes arent loading properly showing color shade time ive,235.0,3.0,u,290,2,-2,0.6363636363636364,0.2727272727272727,0.09090909090909091,0,0,0,1
987,business profile pinterest work account good active million monthly follower million impression system upload save photo app awful take min refresh upload single,179.0,1.0,u,290,4,-5,0.8,0.2,0.0,0,0,0,1
989,visit browsergood install best browser app block ad lightning fast secure pinterest love pin like literally pin ad ad function pin ad ple,190.0,4.0,r,286,3,-2,1.0,0.0,0.0,0,0,1,0
991,easy find im like organization board subboards easy phone dont like search option doesnt always need barely inconvenience love ability change notification,4.0,5.0,u,258,3,-2,0.8,0.0,0.2,0,0,0,1
993,select function working fine select download image share kind bummer best photography social app history unlike apps update better simplified unique choose nonpersonal acco,27.0,5.0,u,292,3,-1,1.0,0.0,0.0,0,0,0,1
995,suspicious activity logged pintrest laptop kicked account email account doesnt exist anymore ive lost entire pintrest account give star could lost project artwork teaching plan,0.0,1.0,u,289,1,-2,0.2857142857142857,0.5714285714285714,0.14285714285714285,0,0,0,1
997,general problem app absolutely dont like pin open pin video completely unrelated instance recipe want start playing advert take age loading want immediately close,2.0,3.0,b,296,2,-2,1.0,0.0,0.0,1,0,0,0
999,totally love app rate sudden like pin triedeven fewl like earlier vanish nowplease fix problem could motivation new thing love app,5.0,4.0,u,285,4,-2,0.5,0.0,0.5,0,0,0,1
1001,recently updated month ago bug glitch android open app search bar always bottom completely disappears minute search bar access profile board shut app reope,196.0,3.0,b,291,1,-1,0.75,0.25,0.0,1,0,0,0
1003,star star unintentionally make music play ad doesnt stop loop closing app home button lock screen turn airplane power work im pinterest whats fun back,40.0,1.0,f,285,2,-1,0.8,0.2,0.0,0,1,0,0
1005,love pinterest spend time app issue app feel like overlooked minor issue search button available occasionally video loading properly minute scrolling feed major issue,1216.0,3.0,u,294,3,-2,0.7142857142857143,0.0,0.2857142857142857,0,0,0,1
1007,best thing pinterest experienced ad bother sometimes didnt ad plz turn dark mod option change theme setting changing device option turn da,0.0,4.0,u,296,2,-1,0.75,0.125,0.125,0,0,0,1
1009,favorite recipe craft site want new need quick substitute fun craft holiday party idea disappointed foodie crafter collector world bizarre entertainment,7.0,5.0,u,289,2,-2,0.5714285714285714,0.14285714285714285,0.2857142857142857,0,0,0,1
1011,like app content provides thing tick everytime saved dozen spam ad unrelated commercial content bombarded activity annoying report always back report whi,817.0,3.0,u,289,2,-3,0.6666666666666666,0.3333333333333333,0.0,0,0,0,1
1013,good fun searching inspiration file future reference shame arent sort file time move displaying pleased arent load,58.0,3.0,u,286,3,-3,0.75,0.25,0.0,0,0,0,1
1015,update could move pin saved board suddenly option disappeared helpful reorganize thing save particular pin board back board delete nice,16.0,4.0,u,295,3,-1,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,0,0,1
1017,love app need idea drawing new hair school sleepover idea app knowing perfect reliable source app perfect love crafty open new idea sometimes phone correctl,11.0,5.0,u,288,3,-2,0.6,0.0,0.4,0,0,0,1
1019,pinteredt great tool baking saved number recipe big renovation year great help idea walk shower tile option tip im need repaint main bedroom painted,49.0,5.0,u,259,3,-1,0.5,0.3333333333333333,0.16666666666666666,0,0,0,1
1021,bit add add actual pin music pin terribleplus pin information link like item like purchase dont want pair shoe coat,328.0,2.0,u,291,2,-4,0.875,0.0,0.125,0,0,0,1
1023,ive pinterest inviteonly website overwhelming overload related idea previous additionally reduce suggestion overdose turning histo,64.0,3.0,r,294,1,-3,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,0,1,0
1025,love website app trash always freezing shutting navigate multiple pin back back easily doesnt make easy back forward navigation awful userfriendly hard unfortunately,14.0,1.0,f,256,3,-3,0.6666666666666666,0.0,0.3333333333333333,0,1,0,0
1027,make choice follow dont want followi want yi make click follow happens want page reciepe direction doesnt thisplease put back dont make,0.0,1.0,r,287,1,-1,0.6153846153846154,0.15384615384615385,0.23076923076923078,0,0,1,0
1029,awesome photo pinterest main reason fashion taste isnt like year old sometimes open app base color image show turning wifi exiting entering turning phone doesnt work havent app fo,8.0,3.0,u,292,4,-1,0.7,0.1,0.2,0,0,0,1
1031,fine good lost rabbit hole pinterest pin auto playing music annoying whats matter time click ad option stop feed pinterest brings back nice,60.0,3.0,u,293,3,-3,0.75,0.125,0.125,0,0,0,1
1033,find new thing youve heard interesting love pinterest glitchy ad awful find board engrossing topic isnt back start beginning add pop,447.0,3.0,u,293,3,-4,0.7777777777777778,0.2222222222222222,0.0,0,0,0,1
1035,great app havei love pinterest pin good people creativity talent great marketing tool handy new inventory online shop pin pic people available,30.0,4.0,u,292,3,-1,0.6666666666666666,0.0,0.3333333333333333,0,0,0,1
1037,happy pinterest enjoyed week access recipe longer link disappointed fixed ill app,0.0,2.0,u,222,4,-4,0.25,0.5,0.25,0,0,0,1
1039,hope youre fine love app lot recently open photo video visible colorframe sometimes caption access board photo thought update problem,24.0,5.0,b,287,3,-2,0.6,0.2,0.2,1,0,0,0
1041,like recipe hate advertisement follow recipe pinterest thingthere dont sign site site jump add anot,39.0,3.0,u,295,2,-4,0.8571428571428571,0.0,0.14285714285714285,0,0,0,1
1043,absolutely love pinterest easiest place inspiration premium adfree version id happily pay great option preset privacy preference pin click dont everytime,430.0,5.0,u,293,4,-1,0.3333333333333333,0.0,0.6666666666666666,0,0,0,1
1045,new app problem app hr need learn watch long im retired interesting easy learn suggestion love,11.0,5.0,u,234,3,-2,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,0,0,1
1047,performance app great nowadays recommended pin bit farfetched thing search app pleasr fix good relevant recommendation reason lot meme pin theyre bad bu,193.0,3.0,u,289,3,-2,0.6,0.2,0.2,0,0,0,1
1049,visit browserbetter install best browser app block ad privacy faster wonderful app truely need life possibility pinterest unlimited please ive waiting patiently video pinning option,327.0,5.0,r,287,3,-2,1.0,0.0,0.0,0,0,1,0
1051,app cute animal pic halarious meme create board notified save pin found board create collab board adding want easy upload picture texting feature,2.0,5.0,u,293,2,-1,0.7272727272727273,0.18181818181818182,0.09090909090909091,0,0,0,1
1053,pinterest love pin like literally pin ad ad function pin ad please cut ad pin could ad frequency make,247.0,3.0,u,292,3,-1,0.8571428571428571,0.14285714285714285,0.0,0,0,0,1
1055,wont regret pinterest favorite app learn new thing inspired create kind stuff idea improve life ton awwww love moment best organize thing pinning board,32.0,5.0,u,285,4,-1,0.5714285714285714,0.14285714285714285,0.2857142857142857,0,0,0,1
1057,please fix issue ive pintrest year problem download image phone oddly enough copied clipdboard pasting image downloading image click download button like new update ruined,147.0,1.0,u,286,3,-2,0.5555555555555556,0.3333333333333333,0.1111111111111111,0,0,0,1
1059,changing previous review loved app feel frustrating press app take home screen start scrolling bar bottom board doesnt appear click pin scrol,202.0,1.0,u,297,4,-2,0.8571428571428571,0.14285714285714285,0.0,0,0,0,1
1061,wonderful app truely need life possibility pinterest unlimited please ive waiting patiently video pinning option available nigeria ill like share video picture pinterest told,713.0,5.0,f,292,3,-2,0.8571428571428571,0.14285714285714285,0.0,0,1,0,0
1063,visit browserbetter install best browser app block ad privacy faster wonderful app truely need life possibility pinterest unlimited please ive waiting patiently video pinning option,66.0,5.0,u,287,3,-2,1.0,0.0,0.0,0,0,0,1
1065,pinterest pretty great complaint im pin suddenly start hear isnt pin im ad sound playing interrupt im listening play con,390.0,4.0,u,287,4,-2,0.8333333333333334,0.16666666666666666,0.0,0,0,0,1
1067,good place sourcing idea changed format unfortunately want zoom picture automatically search picture like item picture want closer annoying unsure add,38.0,3.0,u,295,3,-4,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0,0,1
1069,search navigation bar disappears closereopen app work annoyed pin option quick save visit entire platform filled endless ad majority pin polluted ad wo,55.0,3.0,b,295,2,-3,0.4,0.6,0.0,1,0,0,0
1071,favorite app organize idea learn new skill inspired express passion topic dislike remove bother type pin love surround thing like completely block ou,398.0,5.0,u,292,3,-3,0.5,0.25,0.25,0,0,0,1
1073,love app update kind weird scroll video play audio click fine choose click time click pin video,328.0,5.0,u,290,3,-2,0.75,0.0,0.25,0,0,0,1
1075,happy pinterest started year ago recently saved disappeared couldnt back couldnt find ad annoying make recipe stupid popup video show covering recipe article,11.0,2.0,u,293,2,-3,0.6,0.2,0.2,0,0,0,1
1077,give pinterest star lot ad popped recently hard pin swipe like could ago im anyones comment pin anymore make hard find,31.0,4.0,f,291,2,-1,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,1,0,0
1079,honestly enjoying app morning find idea drawing suddenly stopped working checked wifi working work working logged ac,202.0,2.0,u,297,4,-1,0.5384615384615384,0.38461538461538464,0.07692307692307693,0,0,0,1
1081,pretty good app time pin sort pin like useful categorize want p wish explore page wasnt thing opening app account page give option choose,23.0,4.0,f,262,4,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,0,0
1083,im upset inconsistency feature constantly unwanted recommendation secret board pin hide coming back similar follow instantly please fix edit app real,58.0,2.0,u,293,3,-3,0.8,0.0,0.2,0,0,0,1
1085,pinterest kicked account today reason usual pinning bumped account told user found account log back consistent error message im letting search thing lo,49.0,1.0,b,292,1,-2,0.25,0.75,0.0,1,0,0,0
1087,introvert platform individual share friend instant message option post image facebook caters kind intrests hobby organization pin board put pin category boar,21.0,5.0,u,289,2,-1,0.75,0.25,0.0,0,0,0,1
1089,hate new version longer access pageboards area swipe top lead time wasted frustration board posted time school interview board need access scroll,19.0,3.0,f,292,1,-4,0.0,0.5,0.5,0,1,0,0
1091,love pinterest constantly harassed music play open picture video icon pin sort music irrelevant piecepicture id web browser wo,25.0,2.0,u,293,3,-3,0.5714285714285714,0.14285714285714285,0.2857142857142857,0,0,0,1
1093,disclaimer review app cromebook phone like app havent webiste handful time compare phone pixel xl great easy navigateedit photo clear chromebo,39.0,4.0,r,287,3,-2,1.0,0.0,0.0,0,0,1,0
1095,love app invite better time time hiccup pay attention care people website making thing easier time mean,15.0,5.0,u,298,4,-1,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0,0,1
1097,dont wrong love pinterest uninstalled time phone battery reinstall wouldnt sign email please fix,0.0,3.0,b,209,3,-2,0.25,0.25,0.5,1,0,0,0
1099,visit browsergood install best browser app block ad privacy fast experience pinterest always great love pinterest interesting learn new thing time like lot app description match,125.0,5.0,r,284,3,-2,1.0,0.0,0.0,0,0,1,0
1101,advised join pinterest year ago month finally love pinterest problem hard contact people run ive hard time finding information move pin made mi,19.0,4.0,u,291,3,-2,0.4,0.6,0.0,0,0,0,1
1103,year ago loved pinterest good idea recipe decor item overloaded ad buy buy isnt context idea understand need revenue drove reall,47.0,4.0,u,290,4,-1,0.5,0.2,0.3,0,0,0,1
1105,tend scroll pinterest im feeling anxious low listen water sound podcasts background browse time click pin im listening pause pin autoplay feature frustrating useless tend,648.0,2.0,u,292,1,-4,0.8333333333333334,0.0,0.16666666666666666,0,0,0,1
1107,uploads image pin pin app didnt problem always show pin failed upload like recent update developer please problem uninstalled app reinsta,9.0,2.0,b,295,3,-3,0.42857142857142855,0.42857142857142855,0.14285714285714285,1,0,0,0
1109,app fun useful enjoyed lot event happened personal life delete app back log account email password account somehow made new account id like,21.0,3.0,u,290,3,-1,0.0,1.0,0.0,0,0,0,1
1111,pinterest samey american pin continually content america french fashion scandinavian interior danish food british craftetc youll american post subj,1.0,2.0,f,283,1,-1,1.0,0.0,0.0,0,1,0,0
1113,good im bewildered whats happened pin front page nonsense add related topic like searched language read ive marked countless time dont show isnt relevant,340.0,1.0,f,281,4,-3,0.3333333333333333,0.5555555555555556,0.1111111111111111,0,1,0,0
1115,wish control content show randomly feed talking raising backyard chicken chicken recipe rid reset feed erase histo,776.0,4.0,f,292,1,-2,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,1,0,0
1117,loud ad category pinterest think im interested based cooky data wild apps back function unstable sometimes returning home feed moving back history state serving fitness diet medium im female lazy lastly,20.0,2.0,f,288,2,-2,0.8571428571428571,0.14285714285714285,0.0,0,1,0,0
1119,loveee pinterest ive fan year dislike update update dont make sense change likedgot giving option update ive loved pinterest addition section,441.0,3.0,f,287,4,-4,0.5714285714285714,0.42857142857142855,0.0,0,1,0,0
1121,app good showing personal data like ownership hypothecation data pls stop showing thiswhy people abt personal data othersthe new update worst update show data necessarymy humble request stop,31.0,1.0,f,286,2,-3,0.75,0.0,0.25,0,1,0,0
1123,dear developer small query show registering authority please add feature back,17.0,5.0,b,133,3,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0,0
1125,update brought back responsiveness happy app feature ad enjoying app update major change experience app responding mode searching rto registration loo,214.0,4.0,u,292,3,-1,0.6666666666666666,0.3333333333333333,0.0,0,0,0,1
1127,wonderful apps wish contact number owner fact residential society car owner park car blocking car find name owner app make call due missing contact information,200.0,5.0,u,274,3,-2,1.0,0.0,0.0,0,0,0,1
1129,good app detail respective vehicle time search return accurate information sometimes display inaccurate detail please dont bother checking pending challans data,82.0,4.0,u,247,3,-2,0.5,0.0,0.5,0,0,0,1
1131,wonderful check vehicle detail situation detail vehicle fingertip useful buying selling vehicle reason star,41.0,5.0,u,202,3,-1,0.0,0.0,1.0,0,0,0,1
1133,best app car detail car search type carand celebrity car detail,1.0,5.0,u,106,2,-1,1.0,0.0,0.0,0,0,0,1
1135,happy app app find owner detalis vehicle entering noin noplate great app liked rated star beacuse instance picture car showing car detail showi,50.0,4.0,u,297,3,-1,0.6,0.4,0.0,0,0,0,1
1137,excellent app clear detailed data required,0.0,5.0,u,59,3,-1,0.0,1.0,0.0,0,0,0,1
1139,great app find detail car owner car easily,1.0,5.0,u,65,3,-1,0.0,0.0,0.0,0,0,0,1
1141,rto vehicle information great app find owner detail challan loan information click,0.0,5.0,u,97,3,-1,1.0,0.0,0.0,0,0,0,1
1143,best app accurate infirmation vehicle recommend download app want information vehicle good work app,2.0,5.0,u,155,3,-1,0.75,0.25,0.0,0,0,0,1
1145,good app add car owner mobile bcz time difficult contact add mobile could easier who facing problem,2.0,5.0,u,172,3,-2,0.3333333333333333,0.0,0.6666666666666666,0,0,0,1
1147,didnt expect accurate detail vehicle best app making spectalular app,12.0,5.0,u,151,2,-1,0.6666666666666666,0.3333333333333333,0.0,0,0,0,1
1149,app good checking detail vehicle instantly understand information app provides based government data uploaded server correct detail always original rc,176.0,5.0,u,221,3,-1,0.5,0.3333333333333333,0.16666666666666666,0,0,0,1
1151,accurate fast showed vehicle number information inforamation gave star becase app could add feature calculate expences petrol fabulous,67.0,4.0,u,224,3,-1,0.0,0.5,0.5,0,0,0,1
1153,worst bike transferred app showing owner owner updated vehicle transport authority app apps play store updated change day app star rating,81.0,1.0,b,277,1,-3,0.2,0.8,0.0,1,0,0,0
1155,vehicle information click nice helpful detail vehicle completely integrated,9.0,4.0,u,127,4,-1,0.5,0.5,0.0,0,0,0,1
1157,amazing app giving exact informationalso show news information bikesince useful,0.0,5.0,u,102,3,-1,1.0,0.0,0.0,0,0,0,1
1159,loving app show ad strip doesnt pop full window irritating information accurate,8.0,5.0,u,121,4,-3,1.0,0.0,0.0,0,0,0,1
1161,awsome app knowing vehicle ownership detail multiple feature like driving license resale yesthats great developer,70.0,5.0,u,190,3,-1,1.0,0.0,0.0,0,0,0,1
1163,app good could service accident history app awesome,1.0,3.0,u,103,4,-2,0.0,0.0,1.0,0,0,0,1
1165,good application old vehicle help searching new vehicle information challan penalty imposed vehicle congrates developer,83.0,5.0,u,184,4,-2,0.8,0.2,0.0,0,0,0,1
1167,previously good car model describe app doesnt describe model anymore update,140.0,1.0,u,133,3,-1,0.0,1.0,0.0,0,0,0,1
1169,good information inaccurate accurate decent app,22.0,3.0,b,103,3,-1,0.0,0.0,0.0,1,0,0,0
1171,good app vehicle accurate information love app super chance give star give,82.0,5.0,u,129,4,-1,0.6666666666666666,0.3333333333333333,0.0,0,0,0,1
1173,reason gave app hp detail available previous version removed fix rating,48.0,5.0,u,132,1,-1,0.0,1.0,0.0,0,0,0,1
1175,useful app easy find vehicle owner related information owner,1.0,5.0,u,102,3,-1,0.0,1.0,0.0,0,0,0,1
1177,app great provide perfect information car detail app lot add annoying app great,5.0,4.0,u,162,3,-3,1.0,0.0,0.0,0,0,0,1
1179,improvement place news old useless searching new bike showing bike march useless news update,53.0,5.0,u,158,2,-3,0.5,0.5,0.0,0,0,0,1
1181,useful app lost rc time,0.0,5.0,u,44,3,-1,0.0,1.0,0.0,0,0,0,1
1183,best application vehicle detail car bike scooter valuation finger tip,0.0,5.0,u,78,2,-1,0.0,0.0,0.0,0,0,0,1
1185,good app mobile number add case want buy hand vehicle,17.0,5.0,u,90,4,-1,0.5,0.0,0.5,0,0,0,1
1187,good app correct info expensive app dont mind moderate advertisement appearing screen user control wether watch skip,10.0,5.0,u,161,3,-2,1.0,0.0,0.0,0,0,0,1
1189,vehicle age calculation wrong car purchase date till year month day app show age year month day check update iusse thing good bug,7.0,5.0,u,195,4,-2,0.0,0.5,0.5,0,0,0,1
1191,best app knowing vehicle number best app give detail vehicle like price related type model engine capacity company,1.0,5.0,u,166,2,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,1
1193,informative updated enough soft navigation advertises dont cover page irratating time good speed search engine,26.0,5.0,u,143,3,-1,0.5,0.5,0.0,0,0,0,1
1195,app provides accurate information vehicle great job rto vehicle information,25.0,5.0,u,104,3,-1,0.5,0.0,0.5,0,0,0,1
1197,best application easy ge vehicle information app,0.0,5.0,u,73,2,-1,0.0,0.0,0.0,0,0,0,1
1199,accurate information vehicle insurance detail showing display improvement insurance show display owner,4.0,5.0,u,152,1,-1,1.0,0.0,0.0,0,0,0,1
1201,good appprovides lot knowledge vehicle like car bike,18.0,5.0,u,90,3,-1,0.6666666666666666,0.0,0.3333333333333333,0,0,0,1
1203,great ive logged google continued sign process fast ride code start search owner view option,1.0,5.0,u,135,3,-1,0.0,0.6666666666666666,0.3333333333333333,0,0,0,1
1205,great app detail instantly,0.0,4.0,u,52,3,-1,1.0,0.0,0.0,0,0,0,1
1207,good app need digitalization bike registered,15.0,5.0,u,73,4,-1,0.0,0.5,0.5,0,0,0,1
1209,good app working easy owner address visible,0.0,4.0,u,61,4,-1,1.0,0.0,0.0,0,0,0,1
1211,worth downloading informative like add utility section app vehicle user checking challan help lot,3.0,5.0,u,123,2,-1,0.75,0.0,0.25,0,0,0,1
1213,awesome app display true correct information like fake apps chen check resale outstanding challans,2.0,5.0,u,141,4,-2,0.5,0.0,0.5,0,0,0,1
1215,good app privacy available could problem,0.0,4.0,u,77,3,-2,0.0,0.0,0.0,0,0,0,1
1217,good app easy im work fine,0.0,5.0,u,70,4,-1,1.0,0.0,0.0,0,0,0,1
1219,useful excellent take sometimes long period info good,6.0,4.0,u,93,4,-1,0.5,0.0,0.5,0,0,0,1
1221,rto registration dont give rto information please fix bug,0.0,3.0,b,65,3,-2,0.0,0.0,1.0,1,0,0,0
1223,app excellent app vehicle owner list vehicle resale good app,1.0,5.0,u,88,3,-1,0.0,0.0,0.0,0,0,0,1
1225,useful handy accurate detail,0.0,5.0,u,49,3,-1,1.0,0.0,0.0,0,0,0,1
1227,useful enquiry vehicle searching easy people,16.0,5.0,u,88,3,-1,1.0,0.0,0.0,0,0,0,1
1229,unable search vehicle number search result wrong updating uninstalling reinstalling app doesnt work,18.0,1.0,u,133,1,-2,0.8,0.2,0.0,0,0,0,1
1231,accurate informationbut old vehicle information,0.0,4.0,b,64,1,-1,1.0,0.0,0.0,1,0,0,0
1233,correct information loved add,1.0,4.0,f,54,5,-1,0.5,0.5,0.0,0,1,0,0
1235,nice app helped check license validity thing,2.0,5.0,u,81,4,-1,0.0,0.5,0.5,0,0,0,1
1237,good app easily information vehicle help full,5.0,5.0,u,93,4,-1,0.6666666666666666,0.0,0.3333333333333333,0,0,0,1
1239,change color bike car button working,42.0,3.0,b,81,1,-1,1.0,0.0,0.0,1,0,0,0
1241,easy find detail vehicle driving license love app,1.0,5.0,u,76,3,-1,0.5,0.0,0.5,0,0,0,1
1243,amazing app show info abt car useful app,0.0,5.0,u,62,3,-1,1.0,0.0,0.0,0,0,0,1
1245,good app vehicle information click,0.0,5.0,u,50,4,-1,0.0,0.0,0.0,0,0,0,1
1247,maximum search result provided accuracy,0.0,5.0,u,58,1,-1,0.0,1.0,0.0,0,0,0,1
1249,great application helpful find information car bike great job,3.0,5.0,u,87,3,-1,0.0,0.0,1.0,0,0,0,1
1251,giving information related vehicle great app,0.0,5.0,u,65,3,-1,0.5,0.5,0.0,0,0,0,1
1253,good app check vehicle detailsand easy accurate information vehicle,3.0,5.0,u,91,3,-1,0.0,0.0,0.0,0,0,0,1
1255,application easy good providing information vehicle,4.0,5.0,u,85,3,-1,1.0,0.0,0.0,0,0,0,1
1257,nice app search detail vehicle make model owner,11.0,4.0,u,65,3,-1,1.0,0.0,0.0,0,0,0,1
1259,nice updated challana shown gps device tracking merged siftware reliable usefull,0.0,3.0,u,123,3,-1,0.25,0.75,0.0,0,0,0,1
1261,nice app vehicle information add display time,3.0,5.0,f,73,3,-1,1.0,0.0,0.0,0,1,0,0
1263,good experience submitted original rc amend vehicle model sport till date ive received,1.0,4.0,u,129,3,-1,0.3333333333333333,0.6666666666666666,0.0,0,0,0,1
1265,satisfied app giving idea purchase car valid information,1.0,4.0,u,90,2,-1,0.3333333333333333,0.6666666666666666,0.0,0,0,0,1
1267,doubt accurateone best apploved developer team,0.0,5.0,u,87,2,-2,0.0,0.0,0.0,0,0,0,1
1269,awesome handy best buy sell process work,1.0,5.0,u,52,4,-1,0.0,0.0,0.0,0,0,0,1
1271,supportive information regularly help new car business,0.0,5.0,u,78,3,-1,1.0,0.0,0.0,0,0,0,1
1273,useful app check car bike information,0.0,5.0,u,56,3,-1,0.0,0.0,0.0,0,0,0,1
1275,app helpful car bike price,6.0,4.0,u,68,2,-1,0.0,1.0,0.0,0,0,0,1
1277,sach superb app easily search vehicle type car bike easily place feature,0.0,5.0,u,126,1,-1,1.0,0.0,0.0,0,0,0,1
1279,informative app help find vehicle detail disadvantage coz thief find owner detail thing app,12.0,3.0,u,156,1,-2,0.75,0.0,0.25,0,0,0,1
1281,give star could hailing car multiple time multiple occasion car map accepted ride absolute waste time especially time limit ola mean wave spanish conside,25.0,1.0,r,293,1,-2,0.5555555555555556,0.1111111111111111,0.3333333333333333,0,0,1,0
1283,fine suddenly pay postpaid due month pay due message ola legal action paying due everytime open link pay proble,19.0,1.0,b,294,3,-1,0.8333333333333334,0.16666666666666666,0.0,1,0,0,0
1285,ola month problem day account blocked email grievence team week ago response promotion email expect people service account blocked wit,19.0,3.0,u,295,1,-4,0.75,0.25,0.0,0,0,0,1
1287,app auto driver chennai accept googlepay phonepe paytm enforce accepting digital payment understand genuine need auto driver prompt payment side bengaluru implemented chenna,0.0,3.0,r,294,2,-2,0.4,0.2,0.4,0,0,1,0
1289,great service thing annoyance app always turn wifi scanning location security risk android stop ola change,1.0,3.0,f,224,3,-3,1.0,0.0,0.0,0,1,0,0
1291,developer atleast give damn check case deploying production app hospital wont bring back worst testing terrible app uninstalling,0.0,1.0,u,199,1,-4,0.8,0.0,0.2,0,0,0,1
1293,wish could give star accidentally clicked insurance offering receiving call thrice day raising complain dnd thrice call hour uninstalling app,3.0,1.0,r,234,1,-2,0.5,0.3333333333333333,0.16666666666666666,0,0,1,0
1295,registering ola app open sometime close automatically reopen back registration page please resolve issue honor device,0.0,2.0,b,183,3,-1,0.6,0.0,0.4,1,0,0,0
1297,app nice good experience major complain issue biggest issue company invalid failing payment app app crashing click pay collect money bank account decli,78.0,2.0,u,297,4,-3,0.6,0.0,0.4,0,0,0,1
1299,avoid cost worst taxi app ive number code nonsense slows ive pay payment due downloaded need sort payment method edit card literally maze add anothe,115.0,1.0,u,289,1,-3,0.5,0.3333333333333333,0.16666666666666666,0,0,0,1
1301,short search time pre booking available like,1.0,4.0,f,69,2,-1,1.0,0.0,0.0,0,1,0,0
1303,application sense nearest cab arrives minute want cancel charge cancellation share booking find minute reach destination hr,844.0,1.0,u,287,1,-2,1.0,0.0,0.0,0,0,0,1
